"","word","length","frequency","ageOfAcquisition","valence","arousal","dominance","ReactionTime","concreteness","polysemy","information","phonologicalDensity"
"81095","snapper",7,2,8.39,4.43,4.81,5.16,-0.023657116893452,4.52,6,5.016,8
"81111","snapshot",8,33,10,5.84,4.28,6.35,-0.0423732322885044,4.68,1,8.909,1
"81115","snare",5,19,10.68,4.79,4.7,4.55,-0.267923012469203,3.9,5,10.351,10
"81123","snarl",5,20,8.75,2.45,5.85,4.65,-0.14005340697093,4,3,10.617,1
"81135","snatch",5,26,8.18,4.64,4.77,5.17,-0.460338626307622,3.86,5,8.483,6
"81140","snatcher",7,7,9.88,2.95,5.48,3.92,0.327297533471095,3.6,2,8.773,5
"81150","sneak",5,11,5.83,4.33,5.45,5.36,-0.591866921956708,2.82,3,11.477,14
"81154","sneaker",7,3,6.25,5.85,3.45,6.31,-0.123674792827234,4.69,2,6.997,10
"81170","sneer",5,20,9.2,3.3,4.36,5,-0.118976456579123,3.65,2,14.52,13
"81180","sneeze",5,7,4.17,4,4.81,3.2,-0.518393010977248,4.03,1,11.135,11
"81201","sniff",5,22,6.16,5.1,4.95,5.92,-0.40435883790076,4.17,1,12.147,10
"81232","snip",5,4,7.24,4.32,4.74,4.95,-0.28756551783061,3.68,2,10.838,12
"81237","sniper",7,21,11.05,3.5,5.86,3.89,-0.270287589763735,4.55,1,9.169,6
"81251","snitch",5,0,10.56,3.79,5.67,4.42,-0.350225153769744,3.85,1,10.56,7
"81262","snob",5,41,9.32,2.53,4.68,4.81,-0.580203073846208,2.7,1,9.871,7
"81286","snoop",5,0,8.44,3.45,6.05,4.24,-0.134065360363289,3,1,7.121,11
"81300","snooze",5,8,6.84,6.36,4,5.68,-0.519307005919247,3.31,1,8.979,6
"81306","snore",5,10,5.94,3,3.71,3.85,-0.325913939533551,4.39,2,9.233,10
"81316","snort",5,31,7.42,4.55,4.19,5.09,-0.122060557211038,4.18,2,9.818,6
"81327","snot",5,11,5.47,3.55,4.14,4.79,-0.474246630384517,4.48,2,8.456,5
"81332","snout",5,46,6.83,4.48,3.39,5.28,-0.0459562859786063,4.89,3,13.605,5
"81334","snow",4,1035,4.11,6.78,4.57,5.62,-0.796310784816697,4.85,4,7.06,10
"81336","snowball",7,14,4.74,6.86,4.3,5.12,-0.29721608450843,4.93,4,11.085,2
"81358","snowfall",7,8,5.63,6.35,4.44,4.77,-0.208518344491428,4.66,1,9.575,1
"81362","snowflake",8,5,5.32,7.19,3.55,4.81,-0.362352613151101,4.76,2,9.331,1
"81375","snowman",7,7,3.47,7,3.76,5,-0.577337385350219,4.64,1,7.006,0
"81384","snowstorm",8,18,5.89,3.55,5.85,3.76,0.14172358740506,4.86,1,13.169,1
"81393","snub",5,8,12.1,3.23,3.86,3.75,-0.178628765295477,2.41,2,8.099,9
"81401","snuff",5,26,11.79,3.58,3.65,4.65,0.285226144753071,4.04,4,8.543,11
"81422","snug",5,3,6.38,5.63,3.25,5.54,-0.303647168684118,2.54,1,10.874,7
"81441","soak",4,2,6.53,6.05,3,5.6,-0.371283208100242,4.21,2,11.263,37
"81458","soap",4,359,3.17,7.1,2.62,5.32,-0.589938716276578,4.93,3,7.468,27
"81460","soapbox",8,6,8,4.9,4.22,6.05,0.724875486078486,3.96,2,6.727,0
"81480","sob",4,25,9,2.65,4.89,3.29,-0.561780689673806,3.79,3,11.947,25
"81507","soccer",6,67,5.89,5.84,4.68,5.77,0.035332071941881,4.76,1,4.724,18
"81513","social",5,0,10.43,6.08,5.16,5.17,-0.584106993412569,2.27,1,8.039,1
"81549","sock",4,48,2.94,4.43,3.09,5.14,-0.356844873579048,4.91,2,7.408,41
"81553","socket",6,87,8.06,4.45,4.04,5.42,-0.261612290873963,4.32,3,6.843,6
"81562","sod",4,46,10.82,4.85,2.14,5.08,-0.114646984930102,4.62,4,10.818,30
"81563","soda",5,148,4.42,5.47,4.77,6.04,-0.246765935314396,4.97,2,6.516,7
"81575","sodium",6,55,9.72,4.17,3.73,5.33,-0.00536673838829597,4.21,1,7.5,2
"81583","sofa",5,361,4.5,6.26,2.9,5.84,-0.680237062152975,4.9,1,6.603,7
"81586","softball",8,8,6.42,5.53,4.1,5.4,0.239162865714756,4.89,2,5.305,2
"81592","softener",7,6,9.44,6.14,2.35,5.4,-0.140960999232077,3.38,1,5.188,4
"81619","softness",8,52,4.83,6.75,5.06,5.92,-0.363418945751825,3.1,10,10.834,1
"81638","software",8,126,12.21,6.37,3.83,5.32,-0.232815982713049,4.08,1,4.837,1
"81652","soil",4,726,6.48,5.21,2.76,5.18,-0.699477198003299,4.87,4,9.518,22
"81669","solace",6,50,12.73,6.37,4.35,5.58,0.187698073799099,2.04,3,11.719,3
"81694","soldier",7,460,6.94,5.45,5.9,5.84,-0.434228347956097,4.72,2,8.702,2
"81712","sole",4,30,7.06,4.9,3.78,5.27,-0.375786391617325,4.11,4,8.687,35
"81747","solid",6,33,7.79,5.65,2.36,6.15,-0.675188251233942,4.42,3,8.94,7
"81783","solo",5,23,7.28,5.91,4.12,6.04,-0.656256912809177,2.79,3,8.102,12
"81804","solvent",8,27,12.65,4.79,2.77,4.87,-0.262012672108765,3.7,2,11.616,0
"81855","son",4,2858,3.78,6.91,4.43,5,-0.682356415795137,4.14,2,5.906,42
"81857","sonar",6,31,11.42,5.32,4.11,4.81,0.189969229952374,3.81,1,7.617,0
"81861","song",4,587,4.26,7.59,4.6,6.95,-0.836157475661684,4.46,6,7.19,24
"81877","sonnet",6,19,12.38,5.86,3.33,5.48,0.157685063460479,3.9,1,6.941,3
"81899","soot",4,34,7.2,5.19,4.65,5,0.643541222049477,4.61,1,10.054,10
"81963","sore",4,61,5.84,2.8,4.06,3.92,-0.38471469976154,3.23,1,9.802,41
"81980","sorrow",5,174,8.42,2.95,3.55,3.8,-0.613836043048133,2.36,4,9.145,9
"82037","soul",4,731,6.17,6.61,4.3,6.56,-0.699541073365974,1.86,5,7.536,35
"82054","sound",5,2209,3.72,6.45,4.14,5.5,-0.549584963226305,3.7,8,7.481,19
"82092","soundtrack",9,12,8.56,6,4.26,5.72,0.0262287901992933,4.34,1,7.65,2
"82096","soup",4,362,5.37,7.05,4.24,6.64,-0.612572081121321,4.72,3,4.966,33
"82106","source",4,1376,9.21,5.48,4.5,6.11,-0.551976035791638,2.96,9,6.272,12
"82138","south",4,789,6.06,6.11,3.48,4.89,-0.439699317604994,3.84,5,5.516,9
"82141","southeast",8,6,8.63,5.8,3.6,5.19,0.384996997352136,3.8,4,8.041,0
"82168","southwest",9,18,8.89,5.8,2.52,6.2,-0.280493114717695,3.25,4,7.975,0
"82183","sovereign",7,42,13,4.96,3.68,5.65,0.137552484303455,2.04,1,11.422,1
"82187","soviet",7,0,10.2,4.1,3.43,4.83,0.306063706908242,3.15,1,10.268,1
"82194","sow",3,53,9.67,5.11,3.71,5.74,0.127378678576624,4.04,1,11.841,29
"82203","soy",3,39,13.56,4.79,3.29,5.52,0.108996869171198,4.7,4,8.434,25
"82207","soybean",6,20,11.6,5.43,3.3,4.44,0.7836513736044,4.82,3,10.85,2
"82211","spa",4,31,11.06,7.38,3.75,6.35,-0.352175055474264,4.67,3,5.092,8
"82212","space",5,2259,5.67,6.89,3.6,4.98,-0.75488184667744,3.54,9,6.637,11
"82218","spacecraft",10,15,6.85,5.58,6.27,5.04,0.364241389502976,4.8,1,9.668,0
"82231","spaceship",8,31,4.67,5.61,6,5.15,-0.271079092500006,4.48,1,13.042,1
"82239","spacing",7,15,8.78,5.21,3.19,4.4,-0.463530458668834,3.15,2,9.653,3
"82243","spade",5,51,8.11,5.48,3.74,4.88,-0.489670807759037,4.46,3,5.267,16
"82256","spam",5,3,13.58,3.1,3.83,3.95,-0.323890615274315,4.18,2,7.131,9
"82257","span",5,113,12.06,5.74,3.1,5.78,-0.43557921296268,3,6,8.722,18
"82267","spaniel",8,20,7.94,5.67,4.15,5.14,0.118013831011876,4.7,1,0.953,0
"82272","spank",6,2,4.22,3.76,5.91,4.76,-0.306936121428891,4.21,1,6.479,5
"82274","spanking",8,16,3.86,3,5.98,4.62,-0.403452721208088,4.28,1,5.844,0
"82291","spar",5,8,10.94,5.43,3.36,4.96,0.032243753356674,3.52,3,10.369,16
"82293","spare",5,0,8.35,5.57,4.45,5.63,-0.499940868314077,3.48,3,10.065,17
"82312","spark",5,87,7.95,6.05,5.83,4.9,-0.6752072323863,4.25,6,9.857,9
"82320","sparkle",6,21,5.95,7.1,4.74,5.64,-0.588473097832051,3.81,3,8.014,2
"82341","sparrow",6,47,7.49,6.58,3.78,4.68,-0.455401697728483,4.85,2,6.654,5
"82356","spasm",7,58,8.89,3.17,5.24,3.26,-0.0148500686882405,4.07,2,9.563,1
"82376","spatter",7,8,9.68,4.1,3.4,4.68,-0.107138778066901,3.63,2,10.172,10
"82387","spawn",5,4,11.25,4.85,4,5.61,-0.0585070863682596,3.9,1,10.629,16
"82400","speaker",7,308,6.11,5.32,4.35,5.47,-0.479433700971303,4.69,3,7.114,9
"82422","spear",5,145,7.22,4.43,4.7,5,-0.41553795175407,5,2,9.631,19
"82435","spec",5,8,12.47,4.5,3.87,5.11,0.270483322090759,2.9,1,8.971,13
"82436","special",6,140,5,7.5,3.48,6.72,-0.677980997280443,1.76,3,7.739,4
"82460","species",7,787,8.32,5.26,3.73,4.31,-0.259247214483515,3.36,1,7.305,0
"82479","speck",5,53,8.48,4.33,3.95,4.41,0.347043969992498,4.46,3,7.787,13
"82486","specs",6,27,12.94,5.16,2.95,5.61,0.407394413399864,3.04,1,2.908,8
"82503","spectrum",9,149,12.2,6.65,3.05,4.82,-0.189229096091703,2.97,2,7.769,1
"82516","speech",5,1356,6.22,5.62,4.1,6.68,-0.723677984451766,3.37,8,8.03,4
"82530","speed",5,1279,5.11,6.71,6.8,6.58,-0.529837024794904,3.62,5,6.487,17
"82532","speedboat",8,7,6.5,7,5.65,5.87,0.126716148326648,4.87,1,10.824,1
"82561","speedway",7,1,9,6.05,5.38,5.57,0.497116392417537,4.57,2,3.483,0
"82570","spell",5,229,5.06,6.18,4.15,6.58,-0.776984276045734,3.32,4,9.898,17
"82583","spelling",7,156,5.86,5.75,3.62,6.53,-0.570718035826988,3.63,1,8.955,9
"82595","spender",8,5,8.53,5.38,4.43,4.84,0.249277450446994,3.48,3,9.351,8
"82604","sperm",5,44,11.14,5.47,4.86,4.43,-0.272354031903119,4.82,1,8.156,8
"82617","sphere",5,250,8.26,6.21,4,5.6,-0.452729620079311,4.44,7,10.575,7
"82624","sphinx",7,15,10.22,6.05,4.9,5.27,0.0427804592493555,4.83,3,6.202,3
"82626","spice",5,45,6.78,6.55,4.06,6,-0.66782838128556,4.54,3,7.832,15
"82638","spider",7,73,3.43,3.35,6.91,3.74,-0.770955316105433,4.97,3,8.073,9
"82654","spike",5,34,7.58,4.23,5.35,5.42,-0.596094572702275,4.52,11,10.037,19
"82664","spill",5,7,3.84,3.63,3.74,4.5,-0.60013141545645,4.07,4,8.837,18
"82680","spin",5,37,5,4.9,3.68,4.92,-0.78183988590151,3.9,5,10.488,18
"82683","spinach",7,74,4.94,5.81,3.43,5.46,-0.15599474625819,4.77,2,8.266,0
"82687","spindle",7,23,10.72,4.44,3.55,5.21,0.0686613476963868,4.92,5,9.724,2
"82706","spine",5,204,7.35,5.33,3.14,5.52,-0.447028372313429,4.88,5,9.019,24
"82717","spinner",7,34,9.89,4.58,4.55,5.29,-0.0274339523477656,3.83,3,6.889,9
"82736","spinster",9,50,13.29,4.14,4,4.71,0.196946314728682,3.58,2,7.029,0
"82740","spiral",8,95,8.89,6.4,5,4.46,-0.535777809092005,4.18,6,9.401,3
"82749","spirit",7,1206,7.11,7,5.03,6.38,-0.575189639189435,1.6,8,7.559,4
"82782","spit",5,24,5.06,3,3.57,4.36,-0.405774398048077,4.71,4,11.941,18
"82811","splash",6,69,3.67,6.53,4.8,5.96,-0.59580958912825,4.19,6,9.505,4
"82827","splat",6,1,6.4,3.79,5,4.7,0.027078655978444,3.04,2,8.78,6
"82843","spleen",6,24,11.35,4.47,3.55,4.92,0.0129955665893006,4.7,2,10.432,1
"82850","splice",6,0,13.32,4.74,3.67,5,0.332384423119197,3.19,2,9.991,3
"82858","splint",7,12,9.16,3.58,3.25,5,-0.204640856203749,4.69,2,9.493,4
"82859","splinter",9,25,4.72,3.15,4.5,5.67,0.0674330071130693,4.41,1,9.136,4
"82868","split",6,188,6.25,4.5,5.55,5.79,-0.407018362571782,3.96,11,10.424,5
"82912","spoil",5,10,6.3,2.83,4.09,4.11,-0.64967832793418,2.82,3,11.715,9
"82922","spoils",6,9,8.89,3.42,4.76,4.74,-0.658760574036131,2.83,3,12.275,7
"82941","spokesman",9,214,9.05,4.9,2.9,5.24,0.0712211027209009,4.11,1,7.828,1
"82955","sponge",6,107,5,5.45,4.25,6,-0.266773863283003,5,4,8.894,3
"82971","sponsor",8,28,10.72,5.3,4.05,6.74,-0.249089375458874,3.28,2,6.981,3
"82988","spook",5,7,6.56,3.7,5.14,5,-0.488834551871123,3.14,2,12.353,13
"82997","spool",5,56,8,5.71,3.37,5.08,0.436522201370847,4.62,1,11.652,11
"82999","spoon",5,201,2.5,5.9,3.79,5.18,-0.578591742072347,4.96,3,7.012,16
"83009","spoonful",8,53,5.39,5.29,2.62,5.85,-0.27316265493587,4.43,1,12.775,1
"83023","sport",5,573,5.74,6.95,4.7,6.21,-0.682505582820587,3.48,7,5.903,10
"83045","sportsman",9,39,10.78,5.89,4.85,5.85,-0.269758574202996,4.44,1,8.747,1
"83052","spot",5,711,5.39,5.12,2.95,4.83,-0.694643854288047,4.21,14,8.163,19
"83062","spotlight",8,34,7.94,5.74,4.95,5.91,-0.347319191077649,4.63,2,8.069,1
"83078","spotter",7,3,11.57,5.37,3,5.24,0.000852858355582996,3.88,4,6.751,7
"83084","spouse",5,50,9.94,7.44,5.76,4.73,-0.288492764200878,3.85,1,9.124,5
"83086","spout",5,28,8,5.29,3.14,5.11,0.190055532823047,4.67,1,8.338,13
"83094","sprain",6,3,9.06,3.11,3.85,3.6,-0.189491699671192,3.79,1,7.146,8
"83109","spray",5,145,5.8,5.06,4,6.22,-0.52113895047584,4.5,6,3.829,8
"83119","spread",6,337,5.72,5.57,4.15,6.37,-0.650796119311708,3.68,10,9.461,4
"83129","spreader",8,2,9.21,4.17,3.71,5.11,0.473535653227569,3.72,2,6.414,2
"83138","spree",5,29,10.39,5.95,5,5.07,0.0779503592757399,2.92,1,4.672,8
"83147","spring",6,1150,5.5,7.64,5.5,5.9,-0.606907883980763,3.89,6,7.623,10
"83180","springtime",9,29,5.65,7.64,4.38,5.43,0.0295994928295394,3.09,1,11.76,0
"83184","sprinkle",8,2,5.5,6.72,3.55,5.5,-0.500878318983514,3.82,2,10.398,3
"83186","sprinkler",10,5,5.53,5.86,3.29,6.38,0.146247100251525,4.89,1,8.789,5
"83193","sprint",7,23,8.61,5.67,5.9,5.72,-0.457329957976599,4.14,1,8.591,4
"83202","sprite",6,6,9.17,5.85,3.83,5.68,0.0403615850504822,3.86,1,11.346,4
"83211","sprout",6,5,9.11,5.7,3.59,5.32,-0.371475062506235,4.64,2,9.037,4
"83217","spruce",6,22,10.84,5.55,3.18,4.96,0.332400274196767,3.86,2,6.999,1
"83237","spud",5,4,9.05,5.05,4.05,4.86,-0.09134677746256,4.76,2,9.309,10
"83241","spunk",6,3,10.85,6.17,5.2,5.64,0.0124785927370583,2.44,2,8.709,6
"83247","spur",5,80,9.35,5,4.48,5.5,0.00476522772233584,4.57,5,9.367,22
"83276","spy",4,123,8,4.68,4.74,3.84,-0.791567209326016,4.14,2,6.075,15
"83287","squabble",7,12,10.44,3.6,4.06,3.62,-0.255058309887342,2.63,1,14.317,1
"83294","squad",6,167,9.55,5.35,4.33,5.82,-0.50075528976423,3.65,3,6.851,6
"83297","squadron",9,72,13.53,4.4,4.25,4.52,0.541750823890884,3.48,3,7.412,1
"83304","squall",6,7,11.59,4.32,4.1,4.68,0.342823415582784,3.04,1,10.638,4
"83323","square",6,890,4.11,5.11,3.33,5.3,-0.687268351328615,4.33,8,6.397,5
"83362","squash",6,7,6.94,4.28,3.88,5.24,-0.418106003192909,4.7,3,6.532,4
"83374","squat",6,22,8.21,4.65,4.05,6.15,-0.156468878489778,4.32,3,12.398,9
"83384","squawk",6,4,9.26,5.11,4,4.22,-0.0133224360537982,3.73,2,11.252,3
"83393","squeak",6,32,5.84,4.95,4.79,4.62,-0.164976528432287,4.07,2,9.476,7
"83404","squeal",6,19,7,5.14,5.45,4.57,-0.479331429384121,3.42,1,12.587,4
"83421","squeeze",6,78,5.42,4.85,3.91,6,-0.698124144664829,3.75,8,10.727,5
"83437","squid",6,23,7.32,4.62,4.04,4.89,-0.616228662678151,4.71,2,7.92,3
"83450","squint",7,6,8.05,4.4,3.71,4.62,-0.346124118771455,4.3,2,13.983,1
"83460","squire",7,63,11,4.67,3.48,5.04,-0.0543294987091867,4.16,3,7.543,4
"83468","squirm",6,0,9.18,3.86,5.29,4.2,-0.107222770755032,3.82,1,11.562,2
"83474","squirrel",7,63,4.44,5.71,4.48,5.62,-0.44312122667868,4.89,2,7.702,2
"83476","squirt",6,11,6.53,5.67,4.56,4.79,-0.424980307711404,3.93,2,6.635,4
"83494","stab",5,29,6.4,3.05,5.17,4.12,-0.569010390195888,4.07,3,8.17,12
"83510","stable",6,166,8.9,5.2,3.11,6.33,-0.375018479397432,3.77,1,10.027,7
"83535","stack",5,131,5.63,5.33,3.33,5.86,-0.26417242226304,4.3,5,10.251,23
"83546","stadium",8,68,7,5.53,5.25,5,-0.414706100112111,4.79,1,5.514,1
"83548","staff",5,0,10,5.18,4.3,6.26,-0.692421651180989,4.36,6,6.483,12
"83558","stag",5,32,12.35,5.16,4.5,5.33,-0.379693339780173,4.39,2,8.284,11
"83559","stage",5,2428,6.32,5.67,3.76,4.5,-0.447320658207113,4.64,8,7.478,12
"83561","stagecoach",8,3,9,5.11,3.89,5.18,0.21317443889505,4.93,1,12.131,0
"83584","stagger",7,1,9.56,3.42,4.38,4.15,-0.264378283218015,3.57,1,14.38,8
"83618","stain",5,112,5.24,3,4.27,4.61,-0.520146194604295,4.59,5,9.223,23
"83626","stair",5,50,3.84,5.14,4.4,5.67,-0.36063107464372,4.93,1,10.168,16
"83629","staircase",7,222,6.5,5.2,3.3,5.64,-0.40435943731088,4.66,1,10.274,0
"83633","stairs",5,16,4.22,5.48,3.59,5.57,-0.664909779642,5,1,8.399,12
"83634","stairway",6,42,4.15,5.62,3.44,5.17,-0.531335556234948,4.83,1,11.691,1
"83636","stairwell",7,11,8.94,5.67,2.96,5.78,-0.286013042193292,4.85,1,15.353,1
"83638","stake",5,231,8.47,4.78,3.42,4.52,-0.0666876953144256,4.21,5,8.47,22
"83664","stalemate",8,26,10.67,3.8,2.78,3.29,0.201594954807206,2.41,2,12.88,0
"83675","stalk",5,73,8.22,3.89,5.36,3.61,-0.539532351681797,3.5,5,11.797,13
"83678","stalker",7,4,11.16,2.55,5.82,4.04,-0.293653695673501,3.93,3,9.315,10
"83685","stall",5,125,7.75,4.32,2.9,5.26,-0.196247418058668,4.37,7,12.058,18
"83692","stallion",8,24,9.42,6.35,4.77,6.56,-0.0875102118548172,4.72,1,7.974,3
"83713","stamp",6,183,6.33,5.8,3.45,6.69,-0.63841936107917,4.7,9,7.617,7
"83724","stampede",8,24,9.55,4.48,6.2,3.69,0.0762549797360552,3.89,2,7.719,0
"83739","stance",6,241,10,6.1,2.86,6.14,-0.0723408280405436,4.04,2,9.752,5
"83752","stand",6,410,4.39,5.27,3.1,5.89,-0.635470588171865,4.16,12,8.413,13
"83754","standard",8,650,9.2,4.76,3.61,5.14,-0.589096480676662,1.83,6,7.744,4
"83770","standby",8,21,10.56,4.68,3.28,4.06,-0.132306679864274,2.34,2,11.512,1
"83804","standpoint",10,58,12.11,5.1,4.17,5.21,0.0897530523462975,1.71,1,10.045,1
"83814","standstill",10,60,10,4.74,3.18,4.25,0.0746768927252338,2.39,2,10.68,0
"83828","staple",6,73,7.18,5,4.48,4.76,-0.196045105098244,4.34,5,10.922,5
"83831","stapler",8,0,5.83,5.25,3.29,6.42,0.494967287260222,4.62,1,5.654,6
"83838","star",5,952,3.89,7.47,5.5,5.82,-0.76328914805716,4.69,8,5.712,18
"83840","starboard",7,44,13.72,5.42,4.11,5.41,0.559198826897826,3.24,1,10.901,0
"83845","starch",5,90,10.67,4.95,3.9,6.52,0.0887683906012465,4.29,2,9.432,9
"83855","stardom",7,19,10.06,5.85,5.45,6.68,0.0183413682095677,2.26,1,9.375,0
"83856","stardust",8,6,9.16,6.84,4.4,4.95,0.0192730999209863,3.08,1,7.885,0
"83857","stare",5,106,7.61,4.45,4.68,6.38,-0.485486568133343,4.1,1,10.866,16
"83868","starfish",7,8,5.76,6.53,4.23,5.79,-0.0116553776611481,4.9,1,9.688,0
"83885","starlet",7,18,11.17,6.26,4.18,5.61,0.41410540146217,4.46,2,6.721,4
"83887","starlight",7,13,7.37,7.68,4.91,5,-0.140220731572481,4.34,1,6.365,3
"83902","start",5,845,4.37,6.41,4.81,5.5,-0.66067970026648,2.71,8,7.432,16
"83906","starter",7,71,7.35,5.71,4,5.58,-0.78700576683704,3.38,7,6.539,6
"83940","state",5,5195,6.39,5.73,3.29,5.65,-0.469216476477059,3.52,8,6.107,22
"83958","statement",9,1134,8.89,5.32,3.7,6.89,-0.303784432368561,2.96,7,5.766,1
"83969","statesman",9,85,12.94,4.58,2.89,4.92,0.420025937118716,3.76,1,9.512,1
"83974","static",7,26,9.28,4.41,3.33,4.45,-0.419540439169306,3.32,2,10.474,0
"83977","station",6,1658,7.11,5.5,3,4.61,-0.430082268371085,4.32,5,4.872,5
"84002","statue",6,273,7.55,5.95,2.82,4.95,-0.385890986178644,4.93,1,8.916,3
"84007","stature",7,104,11.12,5.7,3.57,5.89,0.517882174414738,2.32,2,10.842,6
"84008","status",7,1310,11.63,4.89,3.83,5.28,-0.499164450689423,2.24,2,5.478,3
"84010","statute",8,60,10.39,5.18,3.65,5.67,0.0591887626324866,3.88,1,10.096,4
"84034","stay",4,56,4.22,6.14,3.14,5.71,-0.770812263119472,2.15,5,7.376,21
"84052","stead",5,53,11.28,5.32,2.76,5.54,0.54407535522547,2.76,1,9.594,18
"84064","steady",6,0,6.7,6.67,3,6.42,-0.6630002415921,2.25,1,10.455,6
"84071","steak",5,146,6.63,6.2,3.63,6.04,-0.538374107720981,4.96,1,7.143,22
"84074","steal",5,4,6.17,2.17,5.3,3,-0.634816492820187,3.84,2,10.004,20
"84077","stealth",6,26,10.58,5.45,4.22,5.15,-0.02266999306965,2.76,1,9.424,4
"84082","steam",5,316,6.26,5.4,4,4.84,-0.544170384399742,4.5,1,8.737,15
"84084","steamboat",8,6,7.67,5.52,5.14,5.6,0.42394129727508,4.9,1,7.324,1
"84093","steamer",7,129,9.11,4.91,3.73,5.54,-0.00225867032513509,4.11,4,9.015,10
"84113","steamship",8,7,7.06,5.91,4.5,5.38,0.320999253469691,4.63,1,11.159,0
"84122","steel",5,746,7.68,4.95,3.86,5.68,-0.57053192117766,4.87,3,4.225,20
"84153","steeple",6,29,7.21,5.62,3.04,4.89,0.476839969862397,4.74,1,11.466,2
"84162","steer",5,2,6,5.68,5.05,5.94,-0.48900381489504,4.19,2,10.236,18
"84183","stem",5,174,7.26,5.1,3.47,6.19,-0.371465107235892,4.63,6,8.103,7
"84193","stench",6,76,9.17,2.62,4.53,3.47,0.111770196710971,3.85,1,9.569,5
"84208","step",5,1167,4.11,5.68,3.48,6,-0.685837527532208,4.54,11,6.53,13
"84247","steps",6,674,3.67,4.95,3,6.17,-0.63090883073151,4.39,11,7.251,7
"84281","sterling",7,121,10.7,5.89,5.32,5.64,-0.0932247756927245,3.93,1,4.799,6
"84284","stern",5,57,9.47,3.9,3.91,5.58,-0.340459348615649,2.86,3,7.491,15
"84296","steroid",7,7,13.67,3.62,5.21,5.05,0.148055372360969,3.97,2,8.811,2
"84314","stew",5,53,6.95,5.86,2.95,5.36,-0.18370160588536,4.43,2,6.962,14
"84316","steward",7,145,12.17,5.06,2.57,5.64,-0.347170460408514,4.07,5,10.67,4
"84319","stewardess",9,64,9.35,5.9,4.14,4.97,0.438558195099159,4.31,1,11.055,0
"84330","stick",5,470,3.89,5.27,3.81,5.82,-0.476785269635791,4.59,9,7.567,24
"84335","sticker",7,28,4.42,5.57,4.05,5.52,0.0384067926630773,4.67,4,4.969,17
"84360","stickler",8,8,11.95,3.74,3.82,5.22,0.643942969698411,2.46,1,13.016,3
"84395","stiff",5,9,8.16,4.29,4,4.95,-0.437474548907841,3.62,2,10.864,14
"84415","stigma",7,41,15.56,3.9,5.24,4.62,-0.178228830538451,1.76,4,12.322,1
"84441","stillness",8,73,8.1,5.19,2.78,5.25,0.0651082612299943,2.4,3,13.006,1
"84462","sting",5,63,6.21,2.55,4.88,3.45,-0.308078680406126,4.41,4,9.178,33
"84464","stinger",7,6,7.79,3.9,4.96,4.36,0.373621475731629,4.3,5,7.644,11
"84478","stink",6,47,4.3,2.35,4.48,4.76,-0.399533995975557,3.72,1,11.91,10
"84490","stint",6,24,13.06,4.57,3.33,5.65,0.168004740300043,2.83,3,10.16,7
"84496","stipend",8,9,17.2,6.05,3.77,4.41,0.82231160910197,3.46,1,11.832,0
"84513","stir",5,0,5.58,5.35,3.05,6.71,-0.615963830498082,3.76,3,9.661,36
"84531","stitch",5,19,7.39,4.95,3.36,5.11,0.0529078596811444,4.32,2,4.532,9
"84539","stock",5,1023,9.22,5.5,3.5,4.62,-0.601976080175935,4.19,17,6.082,17
"84573","stocking",7,59,6.68,5.33,4.08,5,-0.146238528687969,4.86,2,8.444,9
"84575","stockings",8,149,5.44,6.21,4.81,4.81,-0.408561431346313,4.62,2,4.578,1
"84587","stockpile",8,19,10.89,5.53,4.55,5.5,0.142668974297242,3.83,2,11.899,2
"84596","stockroom",8,1,10.42,4.86,3.26,5.62,0.261974046984978,4.61,1,12.617,0
"84614","stoic",6,5,14,4.47,3.29,6.04,0.70327652629054,2.19,2,15.235,4
"84642","stomach",7,705,5.26,4.53,3.76,5.4,-0.663284153607599,4.89,4,9.821,1
"84654","stomp",6,4,5.79,3.9,4.82,6.44,0.0393786822690869,4.41,1,7.238,5
"84660","stone",5,737,4.44,4.81,3.25,7.26,-0.651148533186594,4.72,13,6.39,19
"84709","stooge",5,10,8.56,3.3,3.75,3.55,0.441979785443621,3.31,2,13.86,6
"84715","stool",5,159,6.21,4.47,2.39,5.2,-0.44173521503386,4.9,4,6.315,17
"84721","stoop",5,19,9.76,4.67,3.17,4.29,0.387740601657599,4.63,3,13.692,18
"84731","stop",5,383,2.89,4.73,4.14,5.06,-0.92791957173243,3.68,11,7.835,16
"84753","stopper",7,17,7.61,4.65,4.35,5.74,-0.00219047927182372,4.83,4,5.561,9
"84770","stopwatch",8,14,8.33,5.05,4.05,6.21,-0.191424706646344,4.92,1,11.132,0
"84772","storage",7,376,7.56,4.95,3.68,6.23,-0.441459536734963,3.47,6,6.288,1
"84773","store",5,871,4.76,5.94,3.43,5.44,-0.656583012501848,4.5,4,4.224,17
"84780","storeroom",7,16,8.11,5.43,2.9,5.68,0.176953498663037,4.5,1,15,0
"84791","storm",5,454,4.94,5.74,5.86,3.72,-0.740906748452915,4.7,3,7.814,11
"84820","story",6,2992,3.89,7.27,3.52,5.33,-0.453660294462024,3.3,6,6.47,11
"84828","stout",5,14,10.12,5.29,3.35,4.86,-0.0964432778857363,3.41,2,9.118,8
"84835","stove",5,294,4.32,5.63,3.82,6.08,-0.131283306741486,4.96,2,8.245,12
"84904","strain",6,508,8.63,3.71,4.78,4.08,-0.447677636044199,3,11,9.112,13
