"","word","length","frequency","ageOfAcquisition","valence","arousal","dominance","ReactionTime","concreteness","polysemy","information","phonologicalDensity"
"7557","blame",5,130,6.48,2.94,4.81,3.33,-0.656285686324411,2.06,2,9.554,10
"7583","blank",6,32,6.05,4.67,2.9,4.68,-0.732308921017824,3.12,4,8.227,11
"7591","blanket",8,300,3.61,7.05,2.23,6.75,-0.517154168461115,5,3,7.958,3
"7622","blast",6,159,7.06,4.45,4.5,4.45,-0.56436421308305,3.9,6,8.626,8
"7647","blaze",5,74,7.47,4.47,5.33,4.2,-0.663700517597771,4.28,5,8.946,19
"7651","blazer",7,67,9.6,5.5,4.22,5.46,-0.26105270475371,4.79,1,4.854,5
"7666","bleach",5,28,8,4.62,5.3,4.89,-0.391515794975764,4.74,3,9.481,8
"7699","bleep",5,2,9.47,5,4.85,5.27,0.127916783647557,3.1,1,8.021,7
"7705","blemish",7,30,10.95,3.1,4.81,5.12,-0.113737128758401,4.07,1,8.798,2
"7715","blend",6,56,10.17,5.63,3.48,5.36,-0.597174793250891,3.7,3,7.762,9
"7719","blender",8,22,6.84,5.16,4.05,5.53,-0.353435063544893,5,1,8.015,10
"7739","blessing",7,188,7.63,7.18,4.21,6.1,-0.595989152753803,2.19,5,10.738,3
"7758","blight",5,59,11.73,3.14,4.24,3.92,0.133541794941505,2.81,2,7.88,11
"7767","blimp",6,0,6.63,5.14,3.59,4.67,0.341061836239404,4.76,2,8.51,3
"7770","blind",6,65,7,2.8,3.73,3.04,-0.516389129669303,4.03,4,9.226,8
"7783","blindfold",10,8,8.11,4.55,3.65,3.5,0.162605016461354,4.57,1,11.427,0
"7793","blindness",9,79,7.21,2.55,4.78,2.38,-0.182873618411895,3.73,1,9.365,2
"7798","blink",6,18,5.63,5.25,3.12,4.83,-0.642555017192587,4.39,1,8.454,8
"7815","blip",5,18,11.31,4.52,4.4,4.55,0.26145729626381,3.19,2,12.99,8
"7817","bliss",5,146,10.16,7.62,4.13,6.36,-0.370343067663309,1.37,1,6.816,8
"7821","blister",8,21,6.74,2.87,4.7,4.52,-0.510462652482195,4.71,3,10.45,5
"7833","blitz",6,65,10.4,5.6,5.9,5.45,-0.298854146130966,2.85,2,5.899,11
"7839","blizzard",7,44,7.94,4.36,6.53,3.65,-0.480163269322492,4.68,2,9.033,2
"7848","blob",5,30,6.16,3.9,3.57,5.44,-0.110188645068618,4.06,1,10.467,10
"7851","block",5,552,4.79,4.48,4.25,6.21,-0.558602040191563,4.48,12,8.488,16
"7853","blockade",7,48,10.55,3.45,3.4,4.36,0.265416509168337,4.25,2,11.232,1
"7861","blockage",7,8,8.89,3.7,4.19,3.57,-0.0452032085384224,3.93,3,12.496,1
"7871","blockhead",8,1,8.8,4.81,4.25,4.88,0.422294487319697,2.68,1,3.589,1
"7886","bloke",5,115,13.88,5,4.24,4.78,-0.573083872383952,3.89,1,12.666,14
"7888","blond",6,5,6.72,6.08,3,5.38,-0.176850101027587,4.41,2,6.741,7
"7890","blonde",6,54,6.06,6,5.75,5.56,-0.578045549182524,4.52,2,6.449,7
"7896","blood",5,2536,4.89,3.48,5.76,3.94,-0.795400544491194,4.86,5,7.438,11
"7900","bloodbath",8,6,11.2,2.05,4.86,3.28,0.682089003537397,3.54,1,9.522,0
"7915","bloodhound",9,13,11.32,5,4.59,4.84,0.336773205353289,4.76,1,6.449,2
"7937","bloodshed",8,51,11.44,3.61,5.22,3.19,0.120974755448179,3.83,2,11.939,0
"7945","bloodstream",10,29,9.05,5.05,3.77,4.7,0.193740751384639,4.04,1,11.886,0
"7965","bloom",5,74,6.84,6.4,4.87,6.05,-0.406276414852458,4,6,6.647,15
"7969","bloomers",7,0,9.24,6.26,4.57,5.13,0.0367121599115451,4.26,2,8.2,4
"7975","blossom",7,52,6.61,7.05,4.75,5.64,-0.456209353138772,4.26,2,6.35,2
"7981","blot",5,15,8.38,4.37,3.05,5.29,-0.011827015986226,3.44,2,6.694,16
"7994","blotter",7,20,11.5,5.5,4.14,5.26,0.305235905944301,3.83,2,5.412,5
"8000","blouse",5,156,6.65,5.73,3.24,6.59,-0.133708166429894,4.96,1,7.206,3
"8002","blow",4,346,4,6.1,4.48,5,-0.686464397872704,3.74,7,6.851,23
"8050","blowout",6,5,9.42,4.27,4.78,4.42,0.0833777102215868,3.35,3,6.004,2
"8066","blowtorch",7,1,9.94,5.22,5.76,4.74,0.686525233086442,4.93,1,12.618,0
"8073","blubber",7,5,7.84,3.85,4.27,4.72,-0.0450096818419514,3.93,2,10.904,2
"8092","blue",4,490,3.53,6.53,3.69,5.79,-0.840554638216805,3.76,7,5.962,15
"8105","bluebird",7,6,5.37,7.29,3.55,5.86,-0.0448676888826245,4.97,2,8.677,1
"8142","blueprint",9,53,9.39,4.95,3.71,5.96,-0.000146629234774226,4.77,2,11.248,1
"8147","blues",5,44,9.81,3.43,3.61,5.44,-0.473239052720604,2.31,7,6.082,16
"8152","bluff",5,75,8.82,4.58,4.17,5.21,-0.276426357719288,3,3,6.209,11
"8169","blunder",8,30,10.61,3.95,4.14,3.64,-0.181460840319065,2.35,1,11.693,8
"8196","blur",5,56,8.95,4.45,3.88,4.96,-0.356240137604783,3.3,1,9.769,24
"8207","blush",5,29,7.95,6.38,4.74,4.25,-0.357516994528807,4.41,2,8.358,8
"8230","boa",4,84,9.56,3.63,5.23,3.61,0.522161270509207,4.92,2,5.786,18
"8233","boar",4,36,9.83,5,3.08,4.68,-0.0422444702427977,4.8,2,8.598,40
"8234","board",4,1525,6.37,5.33,3.52,5.37,-0.653971671233302,4.57,9,5.562,30
"8238","boarder",6,5,9.35,5.15,3.75,5.44,0.354320512288624,3.52,3,7.659,10
"8240","boarding",6,150,9,5.22,3.25,4.72,-0.303192868339321,3.44,2,9.828,7
"8250","boardroom",7,41,10.81,4.38,3.75,5.38,0.392609286578017,4.66,1,11.936,0
"8255","boardwalk",7,3,8.94,6.86,4.08,6.17,0.276505174294196,4.78,1,11.251,1
"8259","boast",5,19,8.22,4.24,4.36,6.33,-0.616432514002255,2.32,1,11.401,20
"8270","boat",4,1000,3.84,6.36,4.05,5.59,-0.596094891646501,4.93,2,7.68,37
"8277","boathouse",7,3,10.21,6.05,4.83,5,0.341031433307538,4.78,1,12.288,0
"8280","boatman",7,14,8.72,5.38,3.6,6.33,-0.0938929128899002,4.73,1,10.579,2
"8305","bobcat",7,0,7.06,5.38,5,4.36,0.701961492743233,4.93,1,9.18,1
"8311","bobsled",8,1,9.38,6,4.57,5.52,1.16170997870593,4.9,2,5.131,0
"8348","body",5,5243,4.28,5.95,4.62,5.76,-0.406043383131909,4.79,11,7.23,15
"8368","bog",4,100,9.37,3.57,3.68,5,-0.160495680314752,4.08,1,11.956,27
"8372","bogey",5,28,10.73,3.58,4.86,3.75,0.0643752293775557,3.69,3,12.252,11
"8395","boil",4,125,6.6,4.48,5.42,5.4,-0.203191247019818,4.2,2,10.09,26
"8406","boiler",6,67,8.89,4.47,3.23,5.08,-0.41840556985979,4.52,2,10.51,12
"8483","bolt",5,115,7.28,3.9,4.55,4.64,-0.547596710332171,4.67,7,8.843,16
"8492","bomb",4,500,8,2.47,5.71,3.14,-0.750760784111644,4.84,3,7.705,36
"8512","bomber",6,50,8.84,2.84,6.24,3.94,-0.0211873912695763,4.45,3,5.603,12
"8521","bombshell",7,10,11.22,5.68,5.5,4.5,0.0931992379616765,3.88,3,6.103,1
"8539","bondage",7,46,15.06,4.38,5.65,4.28,0.256501669667433,3.65,3,3.238,3
"8549","bone",4,478,5.53,5.24,4.75,6,-0.704616093315396,4.9,3,8.84,40
"8588","bonnet",6,76,6.83,4.89,2.96,6,-0.125627633994067,4.93,2,8.541,2
"8594","bonsai",6,1,11.22,6.38,4.1,5.95,0.922526689430004,4.03,1,7.222,0
"8596","bonus",6,161,8.17,8.05,6.9,6.19,-0.35602720538598,3.04,2,6.544,6
"8605","boob",4,3,8.16,5.29,5.3,5.83,-0.258837254302811,4.38,2,6.535,19
"8612","booby",5,28,7.33,7.23,5.33,5.91,0.675288925587951,4.21,2,12.703,12
"8626","boogie",5,1,9.72,3.8,4.55,4.96,-0.0613067001704213,3.23,1,7.688,9
"8638","book",4,4832,3.68,7.05,3.13,6.41,-0.74723035146822,4.9,11,5.711,28
"8646","bookcase",7,59,5.63,6.1,3.38,6.06,0.0444825539458587,4.93,1,6.059,0
"8656","bookie",5,6,13.65,4.57,4,4,0.141052433389167,3.92,1,7.089,13
"8676","booklet",7,105,7.32,5.52,3.55,5.62,-0.19080523984811,4.72,1,10.357,0
"8680","bookmark",7,5,8.26,6.26,3,6.47,-0.373030928892097,4.9,1,5.552,1
"8692","bookshop",7,71,6.89,6.7,4.22,7,-0.195208424966184,4.84,1,4.566,1
"8704","bookworm",7,1,5.78,6.67,2.47,5.32,0.0294805667688024,3.69,2,3.724,1
"8706","boom",4,262,5.56,4.74,5.57,5.14,-0.324379930742422,3.66,5,7.576,28
"8724","boon",4,715,12.94,4.84,3.45,5.68,0.629878346665382,2.48,1,10.189,30
"8735","boost",5,52,7.89,6.53,4.7,6.25,-0.446852862658834,2.89,3,7.784,13
"8738","booster",7,14,8.95,4.52,3.39,4.85,-0.214176012879821,2.93,6,5.425,8
"8745","boot",4,10,3.89,5.3,3.95,6.24,-0.506550302049811,4.96,7,7.877,36
"8754","booth",4,154,7.16,5.25,4.35,5.17,-0.457536646627398,4.42,4,8.314,18
"8769","boots",5,543,4.86,5.89,3.52,5.08,-0.534141580963724,5,7,4.431,20
"8773","booty",5,18,9.68,5.63,5.43,5.3,0.0627452403233517,4.36,1,4.954,17
"8774","booze",4,58,10.42,5,5.08,5.15,-0.577814766502565,4.48,1,11.004,43
"8788","bop",4,5,6.31,5.63,3.95,5.4,0.04316750361187,3.63,2,5.783,28
"8804","border",6,632,6.85,4.68,4.3,4.74,-0.431812825047111,4.29,5,8.868,10
"8829","boredom",6,259,7.68,2.77,2.58,5.04,-0.462238597222521,1.96,1,10.94,1
"8864","borough",5,96,11.35,5,3.45,5.22,0.390979676305699,3.81,2,7.284,22
"8885","bosom",6,123,12.5,6.44,4.7,5,0.68631292006413,4.63,6,12.123,0
"8888","boss",4,393,6.16,4.76,4.43,4.65,-0.607929320902239,3.83,5,7.117,35
"8921","bother",6,58,6.5,4.44,4.2,4.22,-0.108487672836524,2,2,8.937,7
"8928","bottle",5,1479,3.56,5.47,3.32,5.88,-0.588866588405726,4.91,3,8.079,9
"8950","bottom",6,1467,5.28,3.61,3.19,3.44,-0.638191966707058,4.25,7,7.244,4
"8982","bounce",5,27,6.17,6.1,4.68,6.15,-0.560019810317716,3.86,3,10.377,8
"8987","bouncer",7,10,12.67,4.37,4.33,5.29,-0.256516951531448,4.38,1,7.036,5
"9000","bound",5,0,9,4.05,5.55,4.85,-0.565684656597047,3.43,4,8.382,22
"9025","bounty",6,26,9.35,4.37,4.85,5.45,-0.182587972828709,3.41,4,9.219,3
"9026","bouquet",5,75,8.72,6.67,3.33,5.76,-0.110822763814924,4.74,2,5.091,1
"9028","bourbon",6,64,11.05,5.7,5.95,5.69,0.160105691903831,4.93,4,6.501,7
"9038","bout",4,106,11.83,3.9,3.67,5.3,0.202530777381974,3,4,10.157,29
"9039","boutique",6,28,9.78,6.1,4.33,5.88,-0.230343767491239,4.27,1,5.062,4
"9047","bow",3,164,4.95,5.46,3.85,5.95,-0.571964610144508,4.61,9,8.846,29
"9059","bowel",5,167,9.72,3.21,3.57,4.5,-0.152133836605495,4.53,1,6.721,4
"9060","bowels",6,76,9.78,3.25,3.67,5.04,-0.128648538944029,4.33,1,12.972,4
"9072","bowl",4,461,4.26,5.67,3.21,5.58,-0.231293414497402,4.87,9,4.536,39
"9079","bowler",6,65,10.58,5.18,3.64,5.35,-0.182772925337588,4.45,3,10.084,19
"9088","bowling",6,114,7,6.68,4.05,5.2,-0.381292168240872,4.56,3,6.24,15
"9122","box",5,0,4.3,5.33,2.67,4.67,-0.885488417135759,4.9,10,4.799,31
"9129","boxer",7,122,7.95,5.21,4.14,5.64,-0.681060080371975,4.63,4,7.267,4
"9139","boxing",7,71,7.16,4.47,5.73,5.63,-0.607527942237396,4.55,2,6.12,1
"9162","boy",3,3720,3.67,5.84,4.11,5.5,-0.702795292262815,4.76,4,5.776,23
"9164","boycott",6,42,12.79,4.2,5,6.52,-0.158672271184965,2.76,1,9.774,1
"9170","boyfriend",8,80,6.89,7.06,4.9,5.17,-0.422182162828752,4.59,1,9.028,3
"9172","boyhood",6,78,8.61,5.42,3.45,5.35,0.65143200326733,2.29,1,11.887,0
"9181","bra",4,88,8.21,5.9,3.92,5.63,-0.54476483637843,4.54,1,4.929,13
"9182","brace",5,16,7.89,4.85,3.9,4.97,-0.372711072237555,3.96,9,7.092,18
"9188","bracelet",8,65,5.68,6.48,3.96,5,-0.323372955603461,4.96,2,3.746,0
"9198","bracket",7,56,8.56,4.63,3.15,5.05,-0.252701557931168,4.43,4,6.196,3
"9215","brag",5,2,7.79,4.05,3.5,5.32,-0.244116040064141,2.41,1,11.529,14
"9226","braid",5,27,7.22,5.78,3.9,5.6,0.0255560137144441,4.38,2,8.145,24
"9233","brain",5,1214,5.76,6.22,3.35,6.28,-0.700150080949938,4.69,5,9.02,24
"9251","brainstorm",9,1,9.61,6.57,4.29,6.55,-0.425955619855997,2.55,1,11.559,2
"9272","brake",5,65,5.95,4.9,3.82,5.67,-0.529472841462058,4.44,5,7.138,19
"9286","bran",5,45,9.95,4.84,2.26,5.05,0.616724750061785,4.48,2,6.137,22
"9287","branch",6,961,5.11,5.15,2.67,4.91,-0.474728290878074,4.9,6,6.816,9
"9300","brand",6,187,7.72,5.05,2.82,4.57,-0.517372577329895,3.29,6,6.34,15
"9322","brandy",7,291,12.1,5.67,3.86,5.5,-0.337644730153465,4.81,1,7.985,5
"9336","brass",5,339,9.05,5.05,4,5.95,-0.126774281304108,4.7,7,6.486,16
"9357","brat",5,33,6.21,2.67,4.67,4.61,0.113925247508617,3.62,2,7.664,16
"9361","brave",5,0,6,7.38,4.95,6.84,-0.612017863283643,2.26,2,11.326,12
"9380","brawl",5,15,9.2,3.64,5.38,4.73,-0.254580595834387,3.63,2,8.861,13
"9388","brawn",5,10,10.06,5,4.65,5.57,0.65364620675005,2.79,1,8.234,15
"9417","breach",5,165,11.72,3.67,3.46,4.76,-0.0418661783781799,2.48,3,9.897,13
"9429","bread",5,1327,3.58,6.52,3.85,6.05,-0.697240278364493,4.92,2,6.697,21
"9442","breadth",6,79,11.38,4.63,3.61,5.5,0.325316864583304,2.23,2,10.934,3
"9450","break",5,461,5.3,5.1,4.71,4.5,-0.49417950231567,3.71,16,7.795,19
"9460","breakdown",8,270,10.11,3.48,4.73,3.62,-0.239307561636122,2.75,4,9.268,1
"9463","breaker",7,3,9.84,3.91,4.75,5.52,-0.0419699540768122,3.85,3,5.106,10
"9466","breakfast",9,964,3.47,7.39,5,6.83,-0.526158232228043,4.43,1,4.293,1
"9510","breakthrough",8,144,11.53,6.35,5.68,6.58,0.0248477498745188,1.87,3,9.675,1
"9513","breakup",7,50,9.2,2.19,6.33,3.72,-0.326788374894896,2,2,11.988,1
"9521","breast",6,774,6.6,6.64,5.39,5,-0.723173773573023,4.89,4,7.09,12
"9545","breath",5,990,5.81,6.61,2.35,5.78,-0.103759355317584,4.36,5,7.047,9
"9558","breather",7,10,8.11,5.95,2.85,5.42,0.249507401912788,3.44,2,9.715,5
"9581","breech",5,35,11.79,3.14,3.57,5.05,0.0820295734261982,2.96,1,13.944,13
"9589","breed",5,90,9,5.74,4.1,6.17,-0.266564307671681,2.85,2,9.403,24
"9591","breeder",7,49,11.53,4.71,3.79,5.3,0.261650674157708,3.13,1,10.436,6
"9593","breeding",7,184,9.3,5.62,3.95,5.41,-0.420589141723499,2.96,5,10.368,8
"9599","breeze",5,191,6.22,7.61,3.2,4.55,-0.645917008490648,3.62,2,7.905,20
"9620","brethren",8,3,10,5.62,3.71,5.48,1.06247923106568,3.25,5,10.221,0
"9628","brew",4,32,9.06,5.42,3.5,5.71,-0.270835053757577,4.07,1,9.445,21
"9636","brewery",6,33,10.72,5.74,4.75,5.46,0.00375723204386311,4.62,1,7.503,4
"9645","briar",6,7,9.62,4.95,4,4.58,0.0715397469670806,4.44,4,6.964,13
"9648","bribe",5,46,9.74,3.32,4.44,4.59,-0.302865930517168,3.44,1,12.906,8
